호선,역명,역간거리(km),누계(km)
1호선,서울역,0,0
1호선,시청,1.1,1.1
1호선,종각,1,2.1
1호선,종로3가,0.8,2.9
1호선,종로5가,0.9,3.8
1호선,동대문,0.8,4.6
1호선,동묘앞,0.6,5.2
1호선,신설동,0.7,5.9
1호선,제기동,0.9,6.8
1호선,청량리(서울시립대입구),1,7.8
2호선,시 청,0,0
2호선,을지로입구,0.7,0.7
2호선,을지로 3가,0.8,1.5
2호선,을지로 4가,0.6,2.1
2호선,동대문역사문화공원,1,3.1
2호선,신 당,0.9,4
2호선,상왕십리,0.9,4.9
2호선,왕 십 리(성동구청),0.8,5.7
2호선,한 양 대,1,6.7
2호선,뚝 섬,1.1,7.8
2호선,성 수,0.8,8.6
2호선,건대입구,1.2,9.8
2호선,구 의(광진구청),1.6,11.4
2호선,강변(동서울터미널),0.9,12.3
2호선,잠실나루,1.8,14.1
2호선,잠실(송파구청),1,15.1
2호선,잠실새내,1.2,16.3
2호선,종합운동장,1.2,17.5
2호선,삼성(무역센터),1,18.5
2호선,선릉,1.3,19.8
2호선,역삼,1.2,21
2호선,강남,0.8,21.8
2호선,"교대(법원, 검찰청)",1.2,23
2호선,서초,0.7,23.7
2호선,방배,1.7,25.4
2호선,사당,1.6,27
2호선,낙성대,1.7,28.7
2호선,서울대입구(관악구청),1,29.7
2호선,봉천,1,30.7
2호선,신림,1.1,31.8
2호선,신대방,1.8,33.6
2호선,구로디지털단지,1.1,34.7
2호선,대림(구로구청),1.1,35.8
2호선,신도림,1.8,37.6
2호선,문래,1.2,38.8
2호선,영등포구청,0.9,39.7
2호선,당산,1.1,40.8
2호선,합정,2,42.8
2호선,홍대입구,1.1,43.9
2호선,신촌,1.3,45.2
2호선,이대,0.8,46
2호선,아현,0.9,46.9
2호선,충정로(경기대입구),0.8,47.7
2호선,시청,1.1,48.8
2호선,용답,2.3,51.1
2호선,신답,1,52.1
2호선,용두(동대문구청),0.9,53
2호선,신설동,1.2,54.2
2호선,도림천,1,55.2
2호선,양천구청,1.7,56.9
2호선,신정네거리,1.9,58.8
2호선,까치산,1.4,60.2
3호선,지축,0,0
3호선,구파발,1.5,1.5
3호선,연신내,2,3.5
3호선,불광,1.3,4.8
3호선,녹번,1.1,5.9
3호선,홍제,1.6,7.5
3호선,무악재,0.9,8.4
3호선,독립문,1.1,9.5
3호선,경복궁(정부서울청사),1.6,11.1
3호선,안국,1.1,12.2
3호선,종로3가,1,13.2
3호선,을지로3가,0.6,13.8
3호선,충무로,0.7,14.5
3호선,동대입구,0.9,15.4
3호선,약수,0.7,16.1
3호선,금호,0.8,16.9
3호선,옥수,0.8,17.7
3호선,압구정,2.1,19.8
3호선,신사,1.5,21.3
3호선,잠원,0.9,22.2
3호선,고속터미널,1.2,23.4
3호선,"교대(법원, 검찰청)",1.6,25
3호선,남부터미널(예술의전당),0.9,25.9
3호선,양재(서초구청),1.8,27.7
3호선,매봉,1.2,28.9
3호선,도곡,0.8,29.7
3호선,대치,0.8,30.5
3호선,학여울,0.8,31.3
3호선,대청,0.9,32.2
3호선,일원,1.2,33.4
3호선,수서,1.8,35.2
3호선,가락시장,1.4,36.6
3호선,경찰병원,0.8,37.4
3호선,오금,0.8,38.2
4호선,당고개,0,0
4호선,상계,1.2,1.2
4호선,노원,1,2.2
4호선,창동,1.4,3.6
4호선,쌍문,1.3,4.9
4호선,수유(강북구청),1.5,6.4
4호선,미아(서울사이버대학),1.4,7.8
4호선,미아사거리 ,1.5,9.3
4호선,길음,1.3,10.6
4호선,성신여대입구(돈암),1.4,12
4호선,한성대입구(삼선교),1,13
4호선,혜화,0.9,13.9
4호선,동대문,1.5,15.4
4호선,동대문역사문화공원,0.7,16.1
4호선,충무로,1.3,17.4
4호선,명동,0.7,18.1
4호선,회현(남대문시장),0.7,18.8
4호선,서울역,0.9,19.7
4호선,숙대입구(갈월),1,20.7
4호선,삼각지,1.2,21.9
4호선,신용산,0.7,22.6
4호선,이촌(국립중앙박물관),1.3,23.9
4호선,동작(현충원),2.7,26.6
4호선,총신대입구(이수),1.8,28.4
4호선,사당,1.1,29.5
4호선,남태령,2.2,31.7
5호선,방화,0,0
5호선,개화산,0.9,0.9
5호선,김포공항,1.2,2.1
5호선,송정,1.2,3.3
5호선,마곡,1.1,4.4
5호선,발산,1.2,5.6
5호선,우장산,1.1,6.7
5호선,화곡,1,7.7
5호선,까치산,1.2,8.9
5호선,신정(은행정),1.3,10.2
5호선,목동,0.8,11
5호선,오목교(목동운동장앞),0.9,11.9
5호선,양평,1.1,13
5호선,영등포구청,0.8,13.8
5호선,영등포시장,0.9,14.7
5호선,신길,1.1,15.8
5호선,여의도,1,16.8
5호선,여의나루,1,17.8
5호선,마포,1.8,19.6
5호선,공덕,0.8,20.4
5호선,애오개,1.1,21.5
5호선,충정로(경기대입구),0.9,22.4
5호선,서대문,0.7,23.1
5호선,광화문(세종문화회관),1.1,24.2
5호선,종로3가(탑골공원),1.2,25.4
5호선,을지로4가,1,26.4
5호선,동대문역사문화공원,0.9,27.3
5호선,청구,0.9,28.2
5호선,신금호,0.9,29.1
5호선,행당,0.8,29.9
5호선,왕십리(성동구청),0.9,30.8
5호선,마장,0.7,31.5
5호선,답십리,1,32.5
5호선,장한평,1.2,33.7
5호선,군자(능동),1.5,35.2
5호선,아차산(어린이대공원후문),1,36.2
5호선,광나루(장신대),1.5,37.7
5호선,천호(풍납토성),2,39.7
5호선,강동,0.8,40.5
5호선,길동,0.9,41.4
5호선,굽은다리(강동구민회관앞),0.8,42.2
5호선,명일,0.7,42.9
5호선,고덕,1.2,44.1
5호선,상일동,1.1,45.2
5호선,둔촌동,1.2,46.4
5호선,올림픽공원(한국체대),1.4,47.8
5호선,방이,0.9,48.7
5호선,오금,0.9,49.6
5호선,개롱,0.9,50.5
5호선,거여,0.9,51.4
5호선,마천,0.9,52.3
6호선,응암,0,0
6호선,역촌,1.1,1.1
6호선,불광,0.8,1.9
6호선,독바위,0.9,2.8
6호선,연신내,1.4,4.2
6호선,구산,0.9,5.1
6호선,응암,1.5,6.6
6호선,새절(신사),0.9,7.5
6호선,증산(명지대앞),0.9,8.4
6호선,디지털미디어시티,1.1,9.5
6호선,월드컵경기장(성산),0.8,10.3
6호선,마포구청,0.8,11.1
6호선,망원,1,12.1
6호선,합정,0.8,12.9
6호선,상수,0.8,13.7
6호선,광흥창(서강),0.9,14.6
6호선,대흥(서강대앞),1,15.6
6호선,공덕,0.9,16.5
6호선,효창공원앞,0.9,17.4
6호선,삼각지,1.2,18.6
6호선,녹사평(용산구청),1.1,19.7
6호선,이태원,0.8,20.5
6호선,한강진,1,21.5
6호선,버티고개,1,22.5
6호선,약수,0.7,23.2
6호선,청구,0.8,24
6호선,신당,0.7,24.7
6호선,동묘앞,0.6,25.3
6호선,창신,0.9,26.2
6호선,보문,0.8,27
6호선,안암(고대병원앞),0.9,27.9
6호선,고려대(종암),0.8,28.7
6호선,월곡(동덕여대),1.4,30.1
6호선,상월곡(한국과학기술연구원),0.8,30.9
6호선,돌곶이,0.8,31.7
6호선,석계,1,32.7
6호선,태릉입구,0.8,33.5
6호선,화랑대 (서울여대입구),0.9,34.4
6호선,봉화산(서울의료원),0.7,35.1
7호선,장암,0,0
7호선,도봉산,1.4,1.4
7호선,수락산,1.6,3
7호선,마들,1.4,4.4
7호선,노원,1.2,5.6
7호선,중계,1.1,6.7
7호선,하계,1,7.7
7호선,공릉(서울과학기술대),1.3,9
7호선,태릉입구,0.8,9.8
7호선,먹골,0.9,10.7
7호선,중화,0.9,11.6
7호선,상봉(시외버스터미널),1,12.6
7호선,면목,0.8,13.4
7호선,사가정,0.9,14.3
7호선,용마산,0.8,15.1
7호선,중곡,0.9,16
7호선,군자(능동),1.1,17.1
7호선,어린이대공원(세종대),1.1,18.2
7호선,건대입구,0.8,19
7호선,뚝섬유원지,1,20
7호선,청담,2,22
7호선,강남구청,1.1,23.1
7호선,학동,0.9,24
7호선,논현,1,25
7호선,반포,0.9,25.9
7호선,고속터미널,0.9,26.8
7호선,내방,2.2,29
7호선,이수,1,30
7호선,남성,1,31
7호선,숭실대입구(살피재),2,33
7호선,상도,0.9,33.9
7호선,장승배기,0.9,34.8
7호선,신대방삼거리,1.2,36
7호선,보라매,0.8,36.8
7호선,신풍,0.9,37.7
7호선,대림(구로구청),1.4,39.1
7호선,남구로,1.1,40.2
7호선,가산디지털단지,0.8,41
7호선,철산,1.4,42.4
7호선,광명사거리,1.3,43.7
7호선,천왕,1.7,45.4
7호선,온수(성공회대입구),1.5,46.9
7호선,까치울,2.2,49.1
7호선,부천종합운동장,1.2,50.3
7호선,춘의,0.9,51.2
7호선,신중동,1,52.2
7호선,부천시청,1.1,53.3
7호선,상동,0.9,54.2
7호선,삼산체육관,1.1,55.3
7호선,굴포천,0.9,56.2
7호선,부평구청,0.9,57.1
8호선,암사,0,0
8호선,천호(풍납토성),1.3,1.3
8호선,강동구청,0.9,2.2
8호선,몽촌토성(평화의문),1.6,3.8
8호선,잠실(송파구청),0.8,4.6
8호선,석촌,1.2,5.8
8호선,송파,0.9,6.7
8호선,가락시장,0.8,7.5
8호선,문정,0.9,8.4
8호선,장지,0.9,9.3
8호선,복정,0.9,10.2
8호선,산성,2.7,12.9
8호선,남한산성입구(성남법원검찰청),1.3,14.2
8호선,단대오거리,0.8,15
8호선,신흥,0.8,15.8
8호선,수진,0.9,16.7
8호선,모란,1,17.7
